222: vertex_id[183] = { stop( Tverskaya ul 30 ), bus( 86k), pos( 7 ) }
223: vertex_id[592] = { stop( Tverskaya ul 30 ), bus( 72k), pos( 22 ) }
224: vertex_id[277] = { stop( Tverskaya ul 30 ), bus( 100k), pos( 27 ) }
225: vertex_id[427] = { stop( Tverskaya ul 30 ), bus( 76k), pos( 26 ) }
226: vertex_id[766] = { stop( Tverskaya ul 30 ), bus( 62), pos( 26 ) }
227: vertex_id[1755] = { stop( Tverskaya ul 30 ), bus( 38k), pos( 24 ) }
228: vertex_id[871] = { stop( Tverskaya ul 30 ), bus( 52), pos( 24 ) }
229: vertex_id[931] = { stop( Tverskaya ul 30 ), bus( 16k), pos( 17 ) }
230: vertex_id[1522] = { stop( Tverskaya ul 30 ), bus( 28), pos( 28 ) }
231: vertex_id[1043] = { stop( Tverskaya ul 30 ), bus( 56k), pos( 27 ) }
232: vertex_id[1085] = { stop( Tverskaya ul 30 ), bus( 14), pos( 21 ) }
233: vertex_id[1781] = { stop( Tverskaya ul 30 ), bus( 24k), pos( 13 ) }
234: vertex_id[205] = { stop( Tverskaya ul 30 ), bus( 84k), pos( 15 ) }
235: vertex_id[1127] = { stop( Tverskaya ul 30 ), bus( 34), pos( 27 ) }
236: vertex_id[1657] = { stop( Tverskaya ul 30 ), bus( 48k), pos( 28 ) }
237: vertex_id[1427] = { stop( Tverskaya ul 30 ), bus( 74k), pos( 28 ) }
238: vertex_id[2744] = { stop( Leningradskoye sh 50 ), bus( 58), pos( 35 ) }
239: vertex_id[2329] = { stop( Leningradskoye sh 50 ), bus( 68k), pos( 41 ) }
240: vertex_id[2143] = { stop( Leningradskoye sh 50 ), bus( 18), pos( 34 ) }
241: vertex_id[2091] = { stop( Leningradskoye sh 50 ), bus( 12), pos( 40 ) }
242: vertex_id[1536] = { stop( Leningradskoye sh 50 ), bus( 28), pos( 42 ) }
243: vertex_id[1671] = { stop( Leningradskoye sh 50 ), bus( 48k), pos( 42 ) }
244: vertex_id[1441] = { stop( Leningradskoye sh 50 ), bus( 74k), pos( 42 ) }
245: vertex_id[1832] = { stop( Leningradskoye sh 50 ), bus( 98), pos( 22 ) }
246: vertex_id[1379] = { stop( Leningradskoye sh 50 ), bus( 36), pos( 22 ) }
247: vertex_id[1274] = { stop( Leningradskoye sh 50 ), bus( 46k), pos( 33 ) }
248: vertex_id[158] = { stop( Leningradskoye sh 50 ), bus( 88k), pos( 28 ) }
249: vertex_id[1141] = { stop( Leningradskoye sh 50 ), bus( 34), pos( 41 ) }
250: vertex_id[213] = { stop( Leningradskoye sh 50 ), bus( 84k), pos( 23 ) }
